Fecha,Bosque,"(x,y)",SP,flores_disponibles,Escapos_indivi,obsrvaciones
 29/05/2020,1,0.00,Ranunculus sp.,4,,
 22/05/2020,1,0.00,Ranunculus sp.,3,,
 29/05/2020,1,0.01,Lotus corniculatus,3,,
 29/05/2020,1,0.01,Ranunculus sp.,2,,
 29/05/2020,1,0.01,Euphrasia sp.,15,,
 29/05/2020,1,0.01,Bellis perennis,3,,
 22/05/2020,1,0.01,Vicia pyrenaica,2,,
 22/05/2020,1,0.01,Euphrasia sp.,5,,
 22/05/2020,1,0.01,Ranunculus sp.,5,,
 22/05/2020,1,0.01,Bellis perennis,2,,
 22/05/2020,1,0.01,Polygala vulgaris,1,,
 29/05/2020,1,0.02,Ranunculus sp.,3,,
 29/05/2020,1,0.02,Euphrasia sp.,2,,
 29/05/2020,1,0.02,Polygala vulgaris,2,,
 22/05/2020,1,0.02,Ranunculus sp.,4,,
 22/05/2020,1,0.02,Vicia pyrenaica,1,,
 22/05/2020,1,0.02,Taraxacum sp.,1,,
 22/05/2020,1,0.02,Bellis perennis,7,,
 22/05/2020,1,0.02,Euphrasia sp.,2,,
 17/05/2020,1,0.03,Erinus alpinus,16,,
 17/05/2020,1,0.03,Bellis perennis,25,,
 17/05/2020,1,0.03,Ranunculus sp.,7,,
 29/05/2020,1,0.03,Euphrasia sp.,11,,
 29/05/2020,1,0.03,Ranunculus sp.,9,,
 29/05/2020,1,0.03,Bellis perennis,31,,
 29/05/2020,1,0.03,Blanca comp. Nueva,6,,
 29/05/2020,1,0.03,Erinus alpinus,5,,
 17/05/2020,1,0.04,Bellis perennis,9,,
 17/05/2020,1,0.04,Polygala vulgaris,3,,
 29/05/2020,1,0.04,Bellis perennis,17,,
 29/05/2020,1,0.04,Ranunculus sp.,5,,
 29/05/2020,1,0.04,Lotus corniculatus,2,,
 17/05/2020,1,0.05,Ranunculus sp.,6,,
 17/05/2020,1,0.05,Bellis perennis,3,,
 17/05/2020,1,0.05,Scilla verna,7,,
 29/05/2020,1,0.05,Lotus corniculatus,7,,
 29/05/2020,1,0.05,Ranunculus sp.,7,,
 29/05/2020,1,0.05,Bellis perennis,4,,
 29/05/2020,1,0.05,Vicia pyrenaica,1,,
 17/05/2020,1,0.06,Ranunculus sp.,3,,
 17/05/2020,1,0.06,Bellis perennis,1,,
 29/05/2020,1,0.06,Bellis perennis,5,,
 29/05/2020,1,0.06,Ranunculus sp.,12,,
 17/05/2020,1,0.07,Bellis perennis,19,,
 17/05/2020,1,0.07,Ranunculus sp.,1,,
 17/05/2020,1,0.07,Erinus alpinus,4,,
 29/05/2020,1,0.07,Bellis perennis,3,,
 29/05/2020,1,0.07,Ranunculus sp.,2,,
 17/05/2020,1,0.08,Bellis perennis,19,,
 17/05/2020,1,0.08,Veronica persica,6,,
 17/05/2020,1,0.08,Vicia pyrenaica,1,,
 17/05/2020,1,0.08,Polygala vulgaris,1,,
 17/05/2020,1,0.08,Taraxacum sp.,4,,
 29/05/2020,1,0.08,Bellis perennis,19,,
 29/05/2020,1,0.08,Ranunculus sp.,3,,
 17/05/2020,1,0.09,Bellis perennis,14,,
 17/05/2020,1,0.09,Erinus alpinus,12,,
 17/05/2020,1,0.09,Ranunculus sp.,1,,
 29/05/2020,1,0.09,Ranunculus sp.,5,,
 29/05/2020,1,0.09,Bellis perennis,13,,
 17/05/2020,1,0.10,Vicia pyrenaica,3,,
 17/05/2020,1,0.10,Blanca compuesta,11,,
 17/05/2020,1,0.10,Erinus alpinus,129,,
 29/05/2020,1,0.10,Ranunculus sp.,3,,
 29/05/2020,1,0.10,Blanca comp.,10,,
 29/05/2020,1,0.10,Erinus alpinus,8,,
 17/05/2020,1,0.11,Bellis perennis,2,,
 17/05/2020,1,0.11,Ranunculus sp.,3,,
 29/05/2020,1,0.11,Euphrasia sp.,4,,
 29/05/2020,1,0.11,Erinus alpinus,12,,
 29/05/2020,1,0.11,Ranunculus sp.,2,,
 29/05/2020,1,0.11,Bellis perennis,4,,
 17/05/2020,1,0.12,Blanca compuesta,7,,
 17/05/2020,1,0.12,Bellis perennis,1,,
 17/05/2020,1,0.12,Veronica persica,1,,
 17/05/2020,1,0.12,Cerastium,8,,
30/06/2020,1,0.12,Thymus sp.,230,,
30/06/2020,1,0.12,Euphrasia sp.,12,,
 17/05/2020,1,0.13,Bellis perennis,23,,
