"Fecha","Periodo_fecha","Hora","Periodo_hora","Bosque","Codigo_vuelo_dia","Codigo_vuelo","Orden_vuelo","Polinizador","Codigo_captura","Sexo","Planta","xy","X","Y","Observaciones","x_geo","y_geo"
2020-05-03,"1",12:29:00,1,3,1,1,1,"Bombus terrestris","","","Lathyrus linifolius","24,24","24","24","","-2.8249904000","43.0758458200"
2020-05-03,"1",12:29:00,1,3,1,1,2,"Bombus terrestris","","","Ranunculus sp.","24,24","24","24","","",""
2020-05-03,"1",13:07:00,2,3,2,2,1,"Bombus lapidarius","","","Lathyrus linifolius","20,08","20","08","","-2.8250249700","43.0759921600"
2020-05-03,"1",13:07:00,2,3,2,2,2,"Bombus lapidarius","","","Lathyrus linifolius","19,09","19","09","","",""
2020-05-03,"1",13:07:00,2,3,2,2,3,"Bombus lapidarius","","","Lathyrus linifolius","20,07","20","07","","",""
2020-05-03,"1",13:07:00,2,3,2,2,4,"Bombus lapidarius","","","Lathyrus linifolius","18,07","18","07","","",""
2020-05-03,"1",13:07:00,2,3,2,2,5,"Bombus lapidarius","","","Lathyrus linifolius","17,07","17","07","","",""
2020-05-03,"1",13:07:00,2,3,2,2,6,"Bombus lapidarius","","","Lathyrus linifolius","16,05","16","05","","",""
2020-05-03,"1",16:20:00,3,3,3,3,1,"Bombus lapidarius","","","Lathyrus linifolius","4,06","4","06","","-2.8251928700","43.0760373400"
2020-05-03,"1",16:20:00,3,3,3,3,2,"Bombus lapidarius","","","Lathyrus linifolius","10,07","10","07","","",""
2020-05-03,"1",16:20:00,3,3,3,3,3,"Bombus lapidarius","","","Lathyrus linifolius","12,09","12","09","","",""
2020-05-03,"1",16:20:00,3,3,3,3,4,"Bombus lapidarius","","","Lathyrus linifolius","13,09","13","09","","",""
2020-05-03,"1",16:20:00,3,3,3,3,5,"Bombus lapidarius","","","Lathyrus linifolius","13,09","13","09","","",""
2020-05-03,"1",16:20:00,3,3,3,3,6,"Bombus lapidarius","","","Lathyrus linifolius","18,09","18","09","","",""
2020-05-03,"1",16:20:00,3,3,3,3,7,"Bombus lapidarius","","","Lathyrus linifolius","19,08","19","08","","",""
2020-05-03,"1",16:20:00,3,3,3,3,8,"Bombus lapidarius","","","Lathyrus linifolius","20,10","20","10","","",""
2020-05-03,"1",16:24:00,3,3,4,4,1,"Bombus lapidarius","","","Lathyrus linifolius","24,14","24","14","","-2.8251129100","43.0758524300"
2020-05-03,"1",16:24:00,3,3,4,4,2,"Bombus lapidarius","","","Lathyrus linifolius","17,07","17","07","","",""
2020-05-03,"1",16:24:00,3,3,4,4,3,"Bombus lapidarius","","","Lathyrus linifolius","12,07","12","07","","",""
2020-05-03,"1",16:46:00,3,3,5,5,1,"sírfido","","","Potentilla erecta","9,06","9","06","","",""
2020-05-03,"1",16:46:00,3,3,5,5,2,"sírfido","","","Potentilla erecta","11,07","11","07","","",""
2020-05-04,"1",13:28:00,2,5,1,6,1,"Mosquilla (26)","Mosquilla (26)","","Scilla verna","0,13","0","13","","",""
2020-05-04,"1",13:28:00,2,5,1,6,2,"Mosquilla (26)","Mosquilla (26)","","Scilla verna","1,14","1","14","","",""
2020-05-06,"1",12:45:00,2,1,1,7,1,"Apis melifera","","","Taraxacum sp.","20,23","20","23","","-2.8190489400","43.0809051400"
2020-05-06,"1",12:45:00,2,1,1,7,2,"Apis mellifera","","","Taraxacum sp.","19,23","19","23","","",""
2020-05-06,"1",12:45:00,2,1,1,7,3,"Apis mellifera","","","Taraxacum sp.","18,23","18","23","","",""
2020-05-06,"1",12:45:00,2,1,1,7,4,"Apis mellifera","","","Taraxacum sp.","17,24","17","24","","",""
2020-05-06,"1",12:45:00,2,1,1,7,5,"Apis mellifera","","","Taraxacum sp.","17,24","17","24","","",""
2020-05-06,"1",13:11:00,2,1,2,8,1,"Apis mellifera","","","Taraxacum sp.","8,23","8","23","","-2.8189227900","43.0808490100"
2020-05-06,"1",13:11:00,2,1,2,8,2,"Apis mellifera","","","Taraxacum sp.","8,23","8","23","","",""
2020-05-06,"1",13:13:00,2,1,3,9,1,"Apis mellifera","","","Taraxacum sp.","2,22","2","22","","-2.8188597800","43.0808209800"
2020-05-06,"1",13:13:00,2,1,3,9,2,"Apis mellifera","","","Taraxacum sp.","2,24","2","24","","",""
2020-05-06,"1",13:26:00,2,1,4,10,1,"Apis mellifera","","","Taraxacum sp.","2,24","2","24","","-2.8188661500","43.0808132800"
2020-05-06,"1",13:26:00,2,1,4,10,2,"Apis mellifera","","","Taraxacum sp.","1,23","1","23","","",""
2020-05-06,"1",13:26:00,2,1,4,10,3,"Apis mellifera","","","Taraxacum sp.","1,23","1","23","","",""
2020-05-06,"1",16:32:00,3,1,5,11,1,"Sphaerophoria scripta","","","Veronica persica","20,20","20","20","","",""
2020-05-06,"1",16:32:00,3,1,5,11,2,"Sphaerophoria scripta","","","Veronica persica","20,20","20","20","","",""
2020-05-06,"1",16:32:00,3,1,5,11,3,"Sphaerophoria scripta","","","Bellis perennis","20,20","20","20","","",""
2020-05-06,"1",16:32:00,3,1,5,11,4,"Sphaerophoria scripta","","","Blanca compuesta","20,20","20","20","","",""
2020-05-06,"1",16:32:00,3,1,5,11,5,"Sphaerophoria scripta","","","Bellis perennis","18,20","18","20","","",""
2020-05-06,"1",16:35:00,3,1,6,12,1,"sírfido negro alargado","","","Blanca compuesta","20,20","20","20","","",""
2020-05-06,"1",16:35:00,3,1,6,12,2,"sírfido negro alargado","","","Bellis perennis","20,20","20","20","","",""
2020-05-06,"1",16:35:00,3,1,6,12,3,"sírfido negro alargado","","","Blanca compuesta","20,20","20","20","","",""
2020-05-06,"1",16:35:00,3,1,6,12,4,"sírfido negro alargado","","","Blanca compuesta","20,20","20","20","","",""
2020-05-06,"1",16:35:00,3,1,6,12,5,"sírfido negro alargado","","","Veronica persica","20,20","20","20","","",""
2020-05-06,"1",16:35:00,3,1,6,12,6,"sírfido negro alargado","","","Veronica persica","21,20","21","20","","",""
2020-05-06,"1",16:35:00,3,1,6,12,7,"sírfido negro alargado","","","Blanca compuesta","22,20","22","20","","",""
2020-05-06,"1",16:49:00,3,1,7,13,1,"sírfido negro alargado","","","Ranunculus sp.","13,20","13","20","","",""
2020-05-07,"1",13:20:00,2,2,1,14,1,"Bombus pascuorum","","","Ajuga reptans","19,07","19","07","","-2.8103903700","43.0782209600"
2020-05-07,"1",13:20:00,2,2,1,14,2,"Bombus pascuorum","","","Ajuga reptans","19,07","19","07","","",""
2020-05-07,"1",13:20:00,2,2,1,14,3,"Bombus pascuorum","","","Vicia pyrenaica","20,14","20","14","","",""
2020-05-07,"1",13:20:00,2,2,1,14,4,"Bombus pascuorum","","","Vicia pyrenaica","20,14","20","14","","",""
2020-05-07,"1",13:20:00,2,2,2,15,1,"Apis mellifera","","","Taraxacum sp.","1,22","1","22","","-2.810401869309984","43.078016978348963"
2020-05-07,"1",13:20:00,2,2,2,15,2,"Apis mellifera","","","Taraxacum sp.","0,22","0","22","","",""
2020-05-07,"1",17:30:00,3,2,3,16,1,"Bombus pascuorum","","","Vicia pyrenaica","7,24","7","24","","-2.810467388757291","43.078047585002707"
2020-05-17,"1",10:06:00,1,1,1,17,1,"Bombus pascuorum","","","Vicia pyrenaica","7,11","7","11","","-2.8188358000","43.0809367100"
2020-05-17,"1",10:06:00,1,1,1,17,2,"Bombus pascuorum","","","Vicia pyrenaica","6,09","6","09","","",""
2020-05-17,"1",10:06:00,1,1,1,17,3,"Bombus pascuorum","","","Vicia pyrenaica","6,09","6","09","","",""
2020-05-17,"1",10:08:00,1,1,2,18,1,"Apis mellifera","","","Taraxacum sp.","6,10","6","10","","-2.8188189200","43.0809397400"
2020-05-17,"1",10:08:00,1,1,2,18,2,"Apis mellifera","","","Taraxacum sp.","6,11","6","11","","",""
2020-05-17,"1",10:08:00,1,1,2,18,3,"Apis mellifera","","","Taraxacum sp.","5,10","5","10","","",""
2020-05-17,"1",10:08:00,1,1,2,18,4,"Apis mellifera","","","Taraxacum sp.","5,11","5","11","","",""
2020-05-17,"1",10:10:00,1,1,3,19,1,"Apis mellifera","","","Ranunculus sp.","3,15","3","15","","-2.8188192900","43.0808872300"
2020-05-17,"1",10:10:00,1,1,3,19,2,"Apis mellifera","","","Ranunculus sp.","3,15","3","15","","",""
2020-05-17,"1",10:10:00,1,1,3,19,3,"Apis mellifera","","","Taraxacum sp.","3,17","3","17","","",""
2020-05-17,"1",10:10:00,1,1,3,19,4,"Apis mellifera","","","Taraxacum sp.","3,18","3","18","","",""
2020-05-17,"1",10:10:00,1,1,3,19,5,"Apis mellifera","","","Taraxacum sp.","3,19","3","19","","",""
2020-05-17,"1",10:10:00,1,1,3,19,6,"Apis mellifera","","","Ranunculus sp.","6,21","6","21","","",""
2020-05-17,"1",10:12:00,1,1,4,20,1,"Eristalis tenax","","","Taraxacum sp.","3,18","3","18","","",""
2020-05-17,"1",10:12:00,1,1,4,20,2,"Eristalis tenax","","","Taraxacum sp.","3,18","3","18","","",""
2020-05-17,"1",10:12:00,1,1,4,20,3,"Eristalis tenax","","","Taraxacum sp.","2,17","2","17","","",""
2020-05-17,"1",10:12:00,1,1,4,20,4,"Eristalis tenax","","","Taraxacum sp.","2,17","2","17","","",""
2020-05-17,"1",10:12:00,1,1,4,20,5,"Eristalis tenax","","","Ranunculus sp.","2,18","2","18","","",""
2020-05-17,"1",10:12:00,1,1,4,20,6,"Eristalis tenax","","","Taraxacum sp.","2,18","2","18","","",""
2020-05-17,"1",10:14:00,1,1,5,21,1,"Bombus terrestris","","","Pinguicula grandiflora","1,17","1","17","solo tiene un vuelo","-2.8188110300","43.0808624900"
2020-05-17,"1",10:14:00,1,1,6,22,1,"Eristalis tenax","","","Bellis perennis","16,17","16","17","","",""
2020-05-17,"1",10:14:00,1,1,6,22,2,"Eristalis tenax","","","Taraxacum sp.","16,18","16","18","","",""
2020-05-17,"1",10:14:00,1,1,6,22,3,"Eristalis tenax","","","Bellis perennis","16,18","16","18","","",""
2020-05-17,"1",10:14:00,1,1,6,22,4,"Eristalis tenax","","","Ranunculus sp.","16,17","16","17","","",""
2020-05-17,"1",10:14:00,1,1,6,22,5,"Eristalis tenax","","","Bellis perennis","16,18","16","18","","",""
2020-05-17,"1",10:14:00,1,1,6,22,6,"Eristalis tenax","","","Bellis perennis","16,18","16","18","","",""
2020-05-17,"1",10:14:00,1,1,6,22,7,"Eristalis tenax","","","Bellis perennis","16,18","16","18","","",""
2020-05-17,"1",10:14:00,1,1,6,22,8,"Eristalis tenax","","","Bellis perennis","16,19","16","19","","",""
2020-05-17,"1",10:14:00,1,1,6,22,9,"Eristalis tenax","","","Bellis perennis","16,19","16","19","","",""
2020-05-17,"1",10:23:00,1,1,6,22,10,"Eristalis tenax","","","Bellis perennis","14,17","14","17","","",""
2020-05-17,"1",10:23:00,1,1,7,23,1,"Bombus pascuorum","","","Vicia pyrenaica","3,15","3","15","","-2.8188192900","43.0808872300"
2020-05-17,"1",10:48:00,1,1,7,23,2,"Bombus pascuorum","","","Veronica persica","3,15","3","15","","",""
2020-05-17,"1",10:48:00,1,1,8,24,1,"Eristalis tenax","","","Taraxacum sp.","10,18","10","18","","",""
2020-05-17,"1",10:48:00,1,1,8,24,2,"Eristalis tenax","","","Taraxacum sp.","10,18","10","18","","",""
2020-05-17,"1",10:48:00,1,1,8,24,3,"Eristalis tenax","","","Ranunculus sp.","10,18","10","18","","",""
2020-05-17,"1",10:48:00,1,1,8,24,4,"Eristalis tenax","","","Taraxacum sp.","10,18","10","18","","",""
2020-05-17,"1",10:48:00,1,1,8,24,5,"Eristalis tenax","","","Ranunculus sp.","9,19","9","19","","",""
2020-05-17,"1",10:48:00,1,1,8,24,6,"Eristalis tenax","","","Ranunculus sp.","9,19","9","19","","",""
2020-05-17,"1",10:48:00,1,1,8,24,7,"Eristalis tenax","","","Taraxacum sp.","9,19","9","19","","",""
2020-05-17,"1",11:20:00,1,1,8,24,8,"Eristalis tenax","","","Bellis perennis","7,19","7","19","","",""
2020-05-17,"1",11:20:00,1,1,9,25,1,"Bombus pascuorum","","","Vicia pyrenaica","4,09","4","09","","-2.8187915500","43.0809380900"
2020-05-17,"1",11:20:00,1,1,9,25,2,"Bombus pascuorum","","","Vicia pyrenaica","4,09","4","09","","",""
2020-05-17,"1",11:20:00,1,1,9,25,3,"Bombus pascuorum","","","Vicia pyrenaica","9,12","9","12","","",""
2020-05-17,"1",11:20:00,1,1,9,25,4,"Bombus pascuorum","","","Vicia pyrenaica","10,11","10","11","","",""
2020-05-17,"1",11:23:00,1,1,9,25,5,"Bombus pascuorum","","","Vicia pyrenaica","9,09","9","09","","",""
2020-05-17,"1",11:23:00,1,1,10,26,1,"mosca foto 2S","2S","","Taraxacum sp.","18,18","18","18","Mosca foto= mosca grande capturada por Pau 2 S","",""
2020-05-17,"1",11:38:00,1,1,10,26,2,"mosca foto 2S","2S","","Taraxacum sp.","17,18","17","18","Mosca foto= mosca grande capturada por Pau 2 S","",""
2020-05-17,"1",11:38:00,1,1,11,27,1,"mosca foto 2S","2S","","Bellis perennis","22,16","22","16","Mosca foto= mosca grande capturada por Pau 2 S","",""
2020-05-17,"1",11:38:00,1,1,11,27,2,"mosca foto 2S","2S","","Taraxacum sp.","21,15","21","15","Mosca foto= mosca grande capturada por Pau 2 S","",""
2020-05-17,"1",11:41:00,1,1,11,27,3,"mosca foto 2S","2S","","Bellis perennis","20,14","20","14","Mosca foto= mosca grande capturada por Pau 2 S","",""
2020-05-17,"1",11:41:00,1,1,12,28,1,"mosca foto 2S","2S","","Ranunculus sp.","20,17","20","17","Mosca foto= mosca grande capturada por Pau 2 S","",""
2020-05-17,"1",11:41:00,1,1,12,28,2,"mosca foto 2S","2S","","Ranunculus sp.","20,17","20","17","Mosca foto= mosca grande capturada por Pau 2 S","",""
2020-05-17,"1",11:44:00,1,1,12,28,3,"mosca foto 2S","2S","","Bellis perennis","20,17","20","17","Mosca foto= mosca grande capturada por Pau 2 S","",""
2020-05-17,"1",11:44:00,1,1,13,29,1,"mosca foto 2S","2S","","Bellis perennis","20,17","20","17","Mosca foto= mosca grande capturada por Pau 2 S","",""
