Fecha,Hora,Bosque,Codigo_vuelo_dia,Codigo_Vuelos,Orden_vuelo,Polinizador,Codigo_captura,sexo,Planta_vistada,"coord_cuadra(x,y)",observaciones,x_geo,y_geo
03/05/20,12:29:00,3,1,1,1,Bombus terrestris,,,Lathyrus linifolius,"24,24",,-2.8249904000,43.0758458200
03/05/20,12:29:00,3,1,,2,Bombus terrestris,,,Ranunculus sp.,"24,24",,,
03/05/20,13:07:00,3,2,2,1,Bombus lapidarius,,,Lathyrus linifolius,"20,08",,-2.8250249700,43.0759921600
03/05/20,13:07:00,3,2,,2,Bombus lapidarius,,,Lathyrus linifolius,"19,09",,,
03/05/20,13:07:00,3,2,,3,Bombus lapidarius,,,Lathyrus linifolius,"20,07",,,
03/05/20,13:07:00,3,2,,4,Bombus lapidarius,,,Lathyrus linifolius,"18,07",,,
03/05/20,13:07:00,3,2,,5,Bombus lapidarius,,,Lathyrus linifolius,"17,07",,,
03/05/20,13:07:00,3,2,,6,Bombus lapidarius,,,Lathyrus linifolius,"16,05",,,
03/05/20,16:20:00,3,3,3,1,Bombus lapidarius,,,Lathyrus linifolius,"4,06",,-2.8251928700,43.0760373400
03/05/20,16:20:00,3,3,,2,Bombus lapidarius,,,Lathyrus linifolius,"10,07",,,
03/05/20,16:20:00,3,3,,3,Bombus lapidarius,,,Lathyrus linifolius,"12,09",,,
03/05/20,16:20:00,3,3,,4,Bombus lapidarius,,,Lathyrus linifolius,"13,09",,,
03/05/20,16:20:00,3,3,,5,Bombus lapidarius,,,Lathyrus linifolius,"13,09",,,
03/05/20,16:20:00,3,3,,6,Bombus lapidarius,,,Lathyrus linifolius,"18,09",,,
03/05/20,16:20:00,3,3,,7,Bombus lapidarius,,,Lathyrus linifolius,"19,08",,,
03/05/20,16:20:00,3,3,,8,Bombus lapidarius,,,Lathyrus linifolius,"20,10",,,
03/05/20,16:24:00,3,4,4,1,Bombus lapidarius,,,Lathyrus linifolius,"24,14",,-2.8251129100,43.0758524300
03/05/20,16:24:00,3,4,,2,Bombus lapidarius,,,Lathyrus linifolius,"17,07",,,
03/05/20,16:24:00,3,4,,3,Bombus lapidarius,,,Lathyrus linifolius,"12,07",,,
03/05/20,16:46:00,3,5,5,1,sírfido,,,Potentilla erecta,"9,06",,,
03/05/20,16:46:00,3,5,,2,sírfido,,,Potentilla erecta,"11,07",,,
04/05/20,13:28:00,5,1,6,1,Mosquilla (26),Mosquilla (26),,Scilla verna,"0,13",,,
04/05/20,13:28:00,5,1,,2,Mosquilla (26),Mosquilla (26),,Scilla verna,"1,14",,,
06/05/20,12:45:00,1,1,7,1,Apis melifera,,,Taraxacum sp.,"20,23",,-2.8190489400,43.0809051400
06/05/20,12:45:00,1,1,,2,Apis mellifera,,,Taraxacum sp.,"19,23",,,
06/05/20,12:45:00,1,1,,3,Apis mellifera,,,Taraxacum sp.,"18,23",,,
06/05/20,12:45:00,1,1,,4,Apis mellifera,,,Taraxacum sp.,"17,24",,,
06/05/20,12:45:00,1,1,,5,Apis mellifera,,,Taraxacum sp.,"17,24",,,
